"i","w","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
218,9.42087511368452e-06,-0.462556210606579,0.386379595114709,8.03081040431416,3074.23203493972,4.89060492958251,133.034025932734,-1.87513411690379,0.132948779325063,0.0458754419892463,0.472903871112962,0.458966123211724
219,5.27257963022102e-07,-0.572702748414389,0.360613413944317,7.60166597923649,2001.52762249953,4.77872395208634,118.952464114903,-1.8347608587865,0.137672095625303,0.0624540205802541,0.497743876756436,0.406989539934198
220,9.58853353943599e-06,-0.60154285979763,0.353990791144118,8.1140718451455,3341.15503531419,4.58064134955785,97.5769550802121,-2.06562677982675,0.11248287991925,0.0632752066024333,0.493601303835522,0.514013376789824
221,4.9146867799681e-07,-0.628474783273298,0.347856456455876,8.17889233338052,3564.90374819638,4.74017020585648,114.453680709141,-1.94913171836675,0.12464806632796,0.0614415070900241,0.387097289531653,0.427256550324703
222,2.28621954243459e-07,-0.641413037238208,0.344927190281141,7.80114696066117,2443.40285802517,4.60275969106308,99.7592407984926,-1.94291881329313,0.12532754452812,0.0564050036960032,0.592767227395702,0.460939649095801
223,9.21112994283609e-06,-0.767640463613496,0.316989742248104,9.59503049574678,14691.5899344785,5.31179778146035,202.714337073095,-1.57857992173655,0.170996693765481,0.13998327981831,1.02723225784879,0.238857048557189
224,9.69784751323237e-08,-0.680108483575635,0.336237090615667,7.56849829606992,1936.23045237475,4.65431385455315,105.037124522995,-1.90551582094193,0.129485464996537,0.0246468378621215,0.432310009236824,0.409795299827039
225,4.86707057417304e-05,0.726843384280751,0.674112193129789,8.18925547050793,3602.03942328459,5.0080764219186,149.616659841754,-1.40142615418165,0.197589899837969,0.0746326974135964,0.411290342088865,0.422293012167003
226,1.39261909433221e-07,-0.627492147235088,0.348079403055595,7.79694269876743,2433.15171683903,4.60323895810017,99.8070635732774,-1.74139884014905,0.149135342985914,0.0436607112947491,0.45309289960336,0.482828540910258
227,8.28796437176566e-05,-0.275713351707723,0.43150501678586,8.51387325666252,4983.4278506801,5.8658505361151,352.782082442417,-1.37432595058445,0.201921823095442,0.0841645126026193,0.792614418587029,0.427318745798287
228,2.03572112352927e-06,-0.714057328270796,0.328702939590894,8.44202084548714,4637.91803646543,4.74993713652885,115.577018726231,-1.75715101244791,0.147147514546627,0.0380378266800785,0.407689138665121,0.43657394733454
229,7.85516588510501e-06,-0.716749172718275,0.328109238534124,9.02844850758623,8336.91487279175,5.20182495846448,181.603358232239,-1.81010469935058,0.140625472346881,0.169729706017987,0.956300756057683,0.208493680810298
230,3.77097540069864e-07,-0.567674598415325,0.361773572086853,8.12264982546066,3369.93867368302,4.85734737818114,128.682403225713,-1.82293685556705,0.139081846613155,0.00807908278847917,0.427911504378941,0.464494045844181
231,1.88305223031178e-07,-0.654409862068078,0.34199647418848,7.98840931945353,2946.60612062575,4.73380992852139,113.728033662266,-1.76407998396731,0.14628008665911,0.0423244754667389,0.402470760735677,0.4006357761894
232,0.000339558581867169,-0.625318197818181,0.348572878729451,9.79301188182106,17908.1622912728,5.32256759208345,204.909330710673,-1.43507318123333,0.192309454334374,0.098884371530325,0.893953341705002,0.382707558292648
233,4.68508568213241e-05,-0.204482530395993,0.449056751771324,8.7281220724896,6174.12266271584,5.37865956945831,216.73156701948,-1.23122252095851,0.225967527598831,0.086819029235023,0.447214481437848,0.705666692410332
234,2.12055832420868e-07,-0.573095098518345,0.360522954187805,7.75977566346611,2344.37861650589,4.68169233533071,107.952610086583,-1.76548647797941,0.14610452793065,0.0555190172733568,0.362343424522981,0.474084631703397
235,4.39683283631265e-07,-0.53724475073093,0.368828755918938,8.12904042371051,3391.54355841434,4.73726123097416,114.121221618784,-1.91498982319765,0.128421308552542,0.0514775199291241,0.486430234855376,0.473697227013477
236,2.90588868681932e-05,0.0876086168987254,0.521888156223269,7.82648690455124,2506.1096877531,5.33866882253759,208.235327532332,-1.56482726429617,0.17295505689267,0.0708537604891295,0.415814112450358,0.54478206280251
237,0.000184495888074952,-0.89177430381896,0.290743809166222,8.93084141844566,7561.62519115747,5.25624392861249,191.759873148187,-1.80066032538072,0.141770702935627,0.10025095970273,0.746632720975253,0.225784288267094
238,1.74344807478846e-07,-0.540957402164987,0.367964894239143,7.5406712053159,1883.09354347187,4.60956163822436,100.44011087929,-1.8463262539662,0.136304814162723,0.0470481635001536,0.476274798208434,0.458117199852287
239,0.621269358617154,-0.108651453789605,0.472863826825024,10.1348570626698,25206.4971244985,5.09262841907861,162.817252099104,-1.85437599208874,0.135359923619494,0.209215891606208,0.299461822842728,0.613800600142576
240,0.000403983039391974,-0.0982465027372458,0.475458111767002,8.05349074903791,3144.75337846628,4.17575427315221,65.0889159720422,-2.06407265344224,0.112638122568481,0.0538764430757605,0.501607624460933,0.719206709258546
