"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
203,0.000118753318045115,-0.266186378739917,0.433843571972521,9.2464288425795,10367.4756411619,5.96657808475578,390.168261083248,-3.22837112903597,0.0381119155939429,0.0673452708908009,0.307604449525102,0.227493597781532
204,2.91389741128262e-05,0.377936332190288,0.593375275087537,10.8014753217309,49093.1759645154,6.0766131697523,435.551554693011,-3.00890277048048,0.0470252923962115,0.127741090797852,1.32538082227001,0.381121289184759
205,0.000155307995537809,-0.152039308738066,0.462063223399918,9.25068026513767,10411.6459878481,5.53501190779083,253.410805181985,-3.44622842462863,0.030881535066476,0.10346658292603,0.719383742566561,0.109039925182302
206,5.18441284418525e-05,0.537617390625332,0.631257988210639,10.7504049645733,46648.9157871939,4.97937987027295,145.384196631119,-1.82592661969623,0.13872424411805,0.259906310510857,0.870935792059662,0.211018559014658
207,6.1027599482745e-05,1.02253007749827,0.735465134817861,9.98301724327739,21655.5541504989,6.46375046605899,641.462333510978,-2.17177834193136,0.102313585161544,0.148961959932682,2.04181275662086,0.360869718441296
208,3.30195768016213e-06,0.343664315040498,0.585080353359857,10.8957901950819,53948.771270134,5.11550315643164,166.584578001879,-1.96659864579492,0.1227546952462,0.310426592200323,0.775815363438817,0.226679901527449
209,3.62517152139136e-05,-0.144976190987238,0.463819300849274,10.0188777928546,22446.2264650862,6.7012991405265,813.461940371472,-1.89947328213359,0.130168100043078,0.316241826921331,1.55271435044451,0.233999915757259
210,0.01571017793821,-0.294081131263288,0.42700503343389,9.56525507123243,14260.590051994,5.28118735814792,196.603175201134,-3.06460313244396,0.044591185051963,0.0899928072966012,0.737515615363969,0.176178295519979
211,1.15468290350321e-05,0.366998796968886,0.590733583405262,10.8712120398488,52638.9721534798,5.27453703115351,195.300037745806,-1.90666178757234,0.129356347644595,0.283485454438142,0.74145596624354,0.231001984073459
212,3.09264189106572e-05,1.00883400746349,0.732791900632927,10.1067669262848,24508.2953829614,6.30512100798905,547.367820056681,-2.49044377994672,0.0765308278152222,0.142074237416639,1.94441891526358,0.339682600022843
213,0.00099469958708333,0.550605641598289,0.634276093072244,9.67559459395775,15924.1896533823,6.71879066622913,827.815800298614,-2.30275452046924,0.0908950896088945,0.259587041114281,1.4611576662888,0.469257176688867
214,0.00013415849466978,0.439320471218749,0.608097100734401,10.5416457849362,37859.8243365547,5.02786284238538,152.606519750717,-2.18747683035731,0.100880724285346,0.292113110252124,0.857848891929871,0.182659637447697
215,0.000427385641517027,0.315664708792052,0.578267346652124,10.961348340305,57604.0605756934,5.88380375385165,359.17285176454,-3.06944152311794,0.0443855096031754,0.223550250061266,1.42444565987734,0.477343025607952
216,5.03182850328267e-06,1.1501505564363,0.759538415622618,10.3570389610277,31477.8360918427,6.43901745762686,625.791630852128,-2.17180818344523,0.102310844384848,0.196764593954661,2.0335618712348,0.395562627069995
217,0.000371094787329011,0.345759924800079,0.585588995504922,10.6720501029613,43133.2785790739,5.84852489927215,346.722552383164,-3.16149067823064,0.0406408933883406,0.0770668644106362,1.37885739515242,0.485173923803704
218,0.000913367254718077,-0.234788986019719,0.441570920022452,9.49910086354655,13347.7200109543,5.54806142270668,256.739364068619,-3.3842907624353,0.0327900407560531,0.0915149438914319,0.714933065065548,0.02466067739427
219,0.000268503270774753,0.305804483705165,0.575860854252099,10.8961757793505,53969.5770785888,4.95842361211598,142.369189844443,-1.86344584607905,0.134301915872989,0.309189190817923,0.753887568121706,0.129486836080597
220,0.000673598922359574,-0.276319467903042,0.431356337546286,9.57730712148311,14433.4992622057,5.26246418339045,192.956385864417,-3.50933287253659,0.0290478456344263,0.107944895608445,0.598860257844824,0.131866205362028
221,0.000260825336260135,-0.463358244412319,0.386189457932911,9.61622084830592,15006.2318174835,4.90729033862321,135.272375026866,-3.67145975627169,0.0248082041042349,0.0122869379776018,0.377297521299896,0.328589097649236
222,0.00075849105707832,-0.334910763744892,0.417046240638188,9.47829774341072,13072.9141086963,5.90831118624934,368.084004880203,-2.93479426759828,0.0504601171967431,0.0580352149174838,0.110558368188867,0.212561904053419
223,0.0172822497481918,0.836635952078506,0.697756235949049,9.35322792959223,11536.0008082987,6.09887257478243,445.355382044761,-3.43701385885189,0.0311585026493806,0.155581342703377,1.92653818104206,0.259890097869847
224,3.05382145453966e-06,0.343972219953952,0.585155098808558,10.7693587371532,47541.521125536,5.22914222679031,186.632646356627,-1.99883370720968,0.119325429678126,0.333717484356488,0.92436091008889,0.203202043774563
225,2.90540640200299e-05,1.20682823694723,0.769737261041165,10.2981020531821,29676.2414411406,6.44091032005165,626.97729010683,-2.26599868550216,0.0939783568039663,0.178030950428322,2.13177555690316,0.318773444316793
226,0.000130427073373443,-0.302285078409044,0.424998972028062,9.61720117440227,15020.9500312879,4.92629987258026,137.868436617761,-2.89380253149123,0.0524607777605816,0.0327626611357553,0.542208059210576,0.0694148258159339
227,1.37036883377634e-05,1.13410683188781,0.756596003827623,10.0664619495878,23540.1310892944,6.40869386897755,607.100210567304,-2.39433952047095,0.0836053560350798,0.188740025072135,2.14630050032066,0.371375815727655
228,0.00024910128518019,0.911548829941489,0.713316996677479,10.47612098533,35458.5960139804,6.53244054280395,687.072998027535,-2.14254802481234,0.105029638078578,0.104465813204731,2.07952316955348,0.40247425812594
229,2.68501425769647e-06,1.08430785136762,0.747308338225861,10.4284086093311,33806.5080681406,6.30686662017212,548.324146436645,-2.38175493455949,0.0845745965611069,0.16753839895324,2.01396259681311,0.425618073919332
230,0.0526620688510801,0.490744810422759,0.620281874942399,10.9970098993177,59695.3793950563,5.61984545306711,275.846748671391,-2.68107664794965,0.0640992573902795,0.137885255162006,0.984521175046138,0.4911810362218
231,3.52552626672412e-05,0.499717814393342,0.622393014245534,10.8072266714277,49376.3414986744,5.03584331061263,153.8292637783,-1.75454859299312,0.147474405487238,0.278780148247598,1.00688665904569,0.206947653475267
232,3.54381501275005e-05,0.426551012786833,0.605049782100967,10.6433443265556,41912.7068714372,6.10614143262591,448.604401029745,-2.95773296039945,0.049372300218949,0.0897739464195568,1.28867059277055,0.484732575228492
233,0.00383061004587221,-0.31654015667553,0.421519168817377,9.56872750775945,14310.1951211704,5.47220216065035,237.983694459549,-3.59240167794781,0.0267944202535723,0.0571306468195847,0.556901369622267,0.199981851020773
234,0.000261050720961177,0.496557778734982,0.621650056089991,10.5736176150821,39089.8302049426,6.11359711205887,451.961551001848,-2.88057177107099,0.0531223687446971,0.198412883110493,1.38244830025108,0.377217328256565
235,0.00347329977300982,-0.0349600322999507,0.491260881988861,9.19279717971387,9826.09793608538,5.703282086422,299.849921081734,-3.26109542716933,0.0369302291405507,0.195648440045522,0.568173403806145,0.107310064086658
236,6.81302870916858e-06,0.383640879699711,0.594750937849877,11.009839379285,60466.1739433397,5.31651533996348,203.67291310914,-1.95495851168488,0.124013688754906,0.321373622570306,0.980450809804365,0.267064797021639
237,5.26269706446772e-06,1.06013405994107,0.74271616349807,10.2193099819977,27427.7343225277,6.21936912189711,502.386187577618,-2.32881623111466,0.0887643661009233,0.240872688652224,1.98292604613702,0.389713594296151
238,4.32805460113567e-05,0.82500025277481,0.695296722900235,9.84441131214437,18852.6979912685,6.19651230611365,491.03347669587,-3.75835205369964,0.022790616362884,0.227028619336968,1.60746993194295,0.169518094990927
239,0.00180154752988303,-0.463295492814295,0.386204333127271,9.57824236264448,14447.0043791046,4.89990802376752,134.277428784943,-3.41244819042342,0.0319086848854838,0.098264058002794,0.273356522807326,0.367071271011652
240,3.57147387586381e-06,0.27809018696245,0.569077945774632,10.9109546178429,54773.107741533,5.04563665699525,155.343168036847,-2.04935918844862,0.114117147737132,0.280258358431972,0.935588634324762,0.237201877298252
241,4.18455789316502e-05,0.779439116386156,0.685559218090358,10.3313335464963,30678.9965047562,6.59137170134548,728.779852893804,-2.1816735119759,0.101408327900244,0.538538162942117,1.23564514024863,0.371077561634649
242,0.000216849309426134,-0.172591606263865,0.45695888732414,9.91779107232913,20288.1260921819,6.58173340005091,721.789395278422,-1.65728630872287,0.160126614135786,0.38106191061505,1.54986934737174,0.387190173249141
243,1.9039916446071e-06,0.382488608883557,0.594473184639879,10.7529304092314,46766.8739280568,5.14192718787554,171.045086907662,-1.93186877073641,0.126543879712401,0.305678719559424,0.957106462052949,0.291404569226247
244,0.001143965864011,-0.571938377768738,0.360789674709403,9.36556529159787,11679.2061982944,5.02476374983319,152.134310110571,-3.52664252462477,0.0285636026728633,0.0369452711475415,0.244253010731008,0.33883648782365
