"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma","mu_s","log_sigma_s","sigma_s"
392,2.66134374852839e-06,0.505098742719773,0.623656804385687,10.509562277997,36664.4272043803,4.68128713820061,107.908876859678,-2.30355608813097,0.0908288752471051,0.0378978644978378,0.307100649491088,0.203069788694426,5.37463619381353,2.34481324900122,10.4313244853703
393,3.91385143636065e-06,-0.670182377779919,0.33845600456395,9.16655801266494,9571.62252257353,6.87908387660439,971.735722057816,-4.04130867501788,0.0172709308547562,0.0411557889966815,0.201282416502138,0.520444672806946,7.5101688141918,1.86983512220318,6.48722671145759
394,9.24241798610565e-07,0.431956895472642,0.606340860057725,10.7340185640583,45890.7368464736,4.60656697953528,100.139776951766,-2.21309771151402,0.0985804607438716,0.0714636221181048,0.142668574959873,0.233736741419766,5.25667341980318,2.36000803028746,10.5910365011599
395,1.71796294737508e-05,0.294234857997972,0.573032578730848,7.29049166968417,1466.2914510577,5.88627550103573,360.061734343437,-1.81512499088648,0.140019864260232,0.109375995371751,2.02796904779149,0.11228305267718,3.81341083987106,1.57487481257273,4.83013690784715
396,1.10434739735436e-06,0.475900860449297,0.616779456590564,10.969546281789,58078.2362702037,4.76072027922213,116.830045854974,-2.20457593854858,0.0993403202793452,0.0776726679810029,0.250309319638972,0.238919198237012,5.40286801928271,2.39117861355857,10.9263643180839
397,1.63366088401326e-05,0.600630444861737,0.645800528826149,11.0348266253141,61996.0917229762,4.65248794624555,104.845511351998,-2.10377342128699,0.108730605246116,0.0465937308538415,0.0683634161694481,0.204766016144666,5.25407515138347,2.39532644343275,10.9717791397843
398,1.45805495834866e-07,0.488878314820868,0.619842156403683,10.753018522258,46770.9948804159,4.52092015980346,91.9201402941983,-2.22090950330331,0.0978884600393172,0.0640882198714998,0.180665308231423,0.234585413633001,5.16366127313121,2.37242067824545,10.7233185958657
399,2.78201300350683e-06,0.196114910365589,0.54887218823586,7.41487050991281,1660.49413694428,5.60196568937293,270.958504538877,-1.92081308790299,0.127770923890687,0.111966575927696,1.97057494990534,0.108953589079609,4.08167843851477,1.50137987028636,4.48787748854421
400,1.31706714300734e-06,0.214197679590971,0.553345614753301,7.37221282622022,1591.15083058004,5.72974785614844,307.891625608905,-1.68430319964855,0.156526494772928,0.123187892040825,1.95845774390878,0.134754149893521,4.1276002037459,1.6714733797995,5.32000040669245
401,2.99797733917296e-07,0.182833524069311,0.545581476533142,7.40621683322425,1646.18675256451,5.79516729257821,328.707169652362,-1.76514307057746,0.146147375956448,0.123023557867505,2.01171960972834,0.153465052741931,3.94480039613601,1.56640275600667,4.78938856958364
402,3.4990947515812e-05,0.0795283596864983,0.519871617424599,7.69607632081667,2199.70011967466,5.52221732171022,250.189172498378,-1.86489540468985,0.13413347239125,0.0947128969823683,1.91926569977229,0.120274139737174,3.98347101473579,1.63521501762194,5.13056103947003
403,2.59620837114048e-06,0.526073765663349,0.628566915542448,10.5184921582407,36993.3023709948,4.55313768778114,94.9298015858209,-2.25738128379853,0.0947146694461765,0.0655996745221475,0.227105561691106,0.212019892224992,4.90307804545281,2.40771005791407,11.1084941889122
404,1.72379115436089e-06,0.477339320471841,0.617119397519048,10.6862553645582,43750.3706853633,4.70574285293915,110.580399418928,-2.25122331871274,0.0952439961634752,0.0459046071565888,0.264692190519868,0.197098465245785,5.61653146995416,2.36998161035869,10.6971955647128
405,0.000130686042065457,-0.513631940704396,0.374342500543051,9.05800708419956,8587.02038150121,6.88461315409931,977.123600326911,-3.95499289987897,0.0187986450128411,0.0396949082167177,0.0799616272265403,0.555306409984755,8.00685986923034,1.85388511224832,6.38457619541262
406,0.000355883220794952,0.481664096767585,0.618140749916181,10.3610687209675,31604.9401421184,4.87927373102201,131.535099325086,-2.35018082559974,0.0870514005321172,0.051195811080363,0.194704708743791,0.217804125291111,4.76921481371644,2.48335514826751,11.9813964172294
407,6.6916312337029e-07,-0.659461191651491,0.340860657754265,9.44052873524354,12588.3710626906,6.79849567216963,896.497650388143,-3.95376981882957,0.0188212183385328,0.056308784400164,0.187324131827192,0.567603370179276,7.62079774334708,1.91844023835979,6.8103276928148
408,3.42696410353675e-06,0.525233812716588,0.628370790099396,10.5952568609569,39944.9230676341,4.85905828779026,128.90275563369,-2.18594850465759,0.101019433823318,0.0585840041550177,0.0755766351904292,0.255252767126636,5.07139499164258,2.36434431100995,10.6370619260331
409,1.61192696802792e-06,0.487474055800917,0.619511204175402,11.3805385342694,87600.1977436396,4.64242724214674,103.795980050716,-2.16096325783843,0.103311183091676,0.0518326088640981,0.272247438421027,0.242987986486335,5.26065441136401,2.42332012387974,11.2832590124004
410,1.45100692515139e-06,0.131942140833391,0.532937765348894,7.3874112086876,1615.51845464534,5.65913699693369,286.900939296752,-1.85870661851338,0.134853877331278,0.127649811293148,2.03386974202414,0.128158102993706,4.23111175240472,1.65480511688207,5.2320601826147
411,0.000662192813112114,-0.28818348916181,0.428448637042852,9.83170060368964,18614.5833522441,6.84061117115644,935.060442099876,-2.7545328925004,0.0598311593348258,0.0896193002620301,0.400518313904482,0.43385446205844,7.27923801477003,1.39436771529643,4.03242412631969
412,0.000141326275265154,-0.492805145433172,0.379232970077678,9.23444575275045,10243.9826408503,6.55466859860364,702.516296359521,-4.07671866831939,0.0166800908005133,0.0572508195534303,0.242151532447925,0.598890494500562,7.5758268664275,1.79460410170865,6.01709209372037
413,3.97683435699286e-05,0.598854325116588,0.645394150149223,10.5140378577541,36828.8895301839,4.85027529968663,127.775561576485,-2.286823387474,0.0922201376486446,0.0460377100341215,0.285242661650658,0.231460601112698,5.30105570842932,2.23188946467788,9.31745445902807
414,3.35178786209816e-07,0.141265532844827,0.53525776917791,7.5567653730361,1913.6455619802,5.64496951316063,282.864932433568,-1.73019246900019,0.150562962506761,0.113608231847313,1.96648884724925,0.164759692419029,4.18362257814463,1.5700897876749,4.80707979091634
415,6.42837270598892e-06,-0.657606519135975,0.34127747859494,9.77130341854007,17523.5929153089,6.7004036084404,812.733785194879,-4.17598943793272,0.0151276262476167,0.0453165360032528,0.125130886050589,0.561595262971288,7.60337823573197,1.81063147272247,6.11430723165691
416,8.09825884902233e-06,0.420590465195947,0.603624534363011,10.9622646644511,57656.8687583199,4.73550314642428,113.920763125366,-2.20024283803242,0.0997286843039141,0.059303149035321,0.231335172992272,0.226170897205554,5.05954037828577,2.55466081125,12.8669345978119
417,6.50415045934877e-07,0.54550685285693,0.633092519636628,10.5716110189171,39011.4713451489,4.81233087854011,123.018023670036,-2.3843139964855,0.0843766800618356,0.0500731190181863,0.183520182506619,0.265256609568418,5.31113480386829,2.47721863763146,11.908097580243
418,1.06852688367448e-06,0.180676814567851,0.545046727728829,7.69434503842322,2195.89511230814,5.54181273044471,255.140080709615,-1.7292984231371,0.150677341116683,0.104247888407526,1.97315653339677,0.162737374128452,4.14503776577118,1.6319819547543,5.11400039830548
419,3.65590586400025e-07,0.171198922585483,0.542695501093824,7.45300975441901,1725.04730869359,5.61214259620191,273.730103223847,-1.82593672858122,0.138723036314618,0.109121914733048,2.05818876803775,0.0901473866966564,4.10327996868208,1.57654370653037,4.83820462435637
420,6.44476505228221e-07,0.626348547697907,0.651661046121098,10.6313388527678,41412.5333850991,4.63366701847139,102.890675175005,-2.2826015410906,0.0925741809730296,0.0538215600800496,0.165025234291728,0.240836231507914,5.50425481946228,2.43203313887412,11.3819997574859
421,4.33032330976882e-07,0.486033055097399,0.619171477261176,10.63390757014,41519.0472224375,4.63525600455254,103.054296987702,-2.44427767052043,0.0798580204234901,0.0505392983056811,0.20784617449657,0.23882987699722,5.42693039460392,2.37936583562354,10.7980529516586
422,3.30044745261275e-07,0.478631139850583,0.617424586321051,10.7922390800526,48641.8271187015,4.62523655595616,102.026905300415,-2.12737749999417,0.106464211658197,0.0496550269828752,0.27756637584431,0.210677290422969,5.09528191030515,2.38723755537179,10.8833876229904
423,8.50443500296762e-08,0.514806047124006,0.625932446551908,10.6983624714048,44283.2805868207,4.70542787862269,110.545574917907,-2.25128612731361,0.095238583922051,0.064217224318146,0.291298161774996,0.26189263239045,5.38856997083181,2.40286991675719,11.0548574184797
424,7.11119218424054e-07,0.557591788156287,0.635895143634337,10.6322108885847,41448.6623480671,4.80722416526793,122.391407232851,-2.22687196791212,0.0973631977070055,0.0598562318808706,0.237547327617342,0.292866623292597,5.48854943657523,2.3862444658035,10.872584809243
425,6.15227076189423e-08,0.484546952048514,0.618820994891846,10.9488363936266,56887.8118184034,4.60355823496335,99.8389347470514,-2.26378546938988,0.0941669736609355,0.0494598999924221,0.225448970085007,0.251549380738373,5.14940749778628,2.37507488200606,10.7518182736538
426,6.45266303298061e-07,0.579913803295723,0.641047572233133,10.8747153112259,52823.7041521701,4.56426118651011,95.9916478874009,-2.26532141058513,0.0940360402021208,0.0447759200920921,0.276315319611097,0.199764724418055,5.20534652059995,2.36142912360807,10.6060980517897
427,1.20100490100622e-05,0.215084931849308,0.553564892522653,7.51952671953924,1843.69450294823,5.78426436257987,325.142764928768,-1.7387272180122,0.149474673664407,0.10312205494252,1.93267633339543,0.171976074218622,3.68529384082491,1.56365060534158,4.77622557223086
428,1.04937823694442e-06,0.476632337498899,0.616952335602214,11.0970052926265,65973.2933316205,4.67910579773445,107.673747401859,-2.22773936256298,0.0972869945560972,0.0553374362369898,0.232519894791094,0.184508860589131,5.26037542153552,2.34377128355042,10.420461066287
429,9.63308426485288e-07,0.534758885067548,0.63059236074873,10.7733290809037,47730.652516698,4.7704977103297,117.977946193104,-2.27150182664343,0.0935108298276713,0.0681450613643831,0.0805523708951867,0.252698753108176,5.21574410454238,2.35804458064192,10.5702619358762
430,5.60559359391234e-06,0.126676782154841,0.531626913736483,7.64486393161793,2089.88418932622,5.67583168981294,291.730867267433,-1.68117220802869,0.156940311605567,0.116350470267613,1.94140204525348,0.181425570578625,4.31007055401538,1.58657774820135,4.88699574788829
431,3.4523108423762e-06,0.524970698759956,0.628309345405839,10.8870382518007,53478.6748132942,4.44888527591605,85.5315467661631,-2.18184418925356,0.101392776046155,0.0636005440890935,0.245028246856202,0.183715853793146,5.35016658137178,2.44284281182343,11.5057028427744
